number	opening	recommendation	reporting
14	去宿主与去重复，为什么不能一起默认全删？	检查人源残留的同时检查微生物误删；重复序列可能来自真实高丰度成员，不自动等于 PCR 重复。	分别报告宿主、低复杂度和重复信号
15	MetaPhlAn 的物种丰度，是怎样从 marker 得到的？	丰度来自 marker coverage，不是直接数比对命中；SGB 名称、未分类部分和 marker 支持要一起解释。	注明 SGB 数据库和丰度分母
16	Kraken2 分类与 Bracken 丰度，回答的是两个问题	先读清 Kraken2 的层级计数，再解释 Bracken 重分配；不要把模型估计当成原始物种 read counts。	分别记录分类与丰度重估参数
17	提高 confidence，哪些检出会一起消失？	阈值的影响取决于数据库内容；用已知组成对照比较召回和非预期调用，不把 confidence 当概率。	报告数据库覆盖与阈值敏感性
18	不同工具给出不同物种，先比较哪一部分？	先对齐工具能够识别的共同物种集合；相关系数高，仍可能同时存在丰度偏差和漏检。	说明共同可检出范围与比较指标
19	基因、反应和通路表，为什么不能混着读？	先确认 feature 类型和单位；pathway coverage 不等于 abundance，物种分层行也不能重复计入总量。	交代功能表类型、单位和物种分层
20	换一个分母，功能图会怎样变化？	归一化前先决定特殊行是否保留；删除未解释部分后重新闭合，不能再把 100% 解释为功能覆盖率。	明确归一化分母与特殊行处理
21	同样叫 abundance，表里的数字究竟是什么？	先区分观测计数、模型估计、长度校正值和相对丰度；单位没确认之前，不做求和、稀释或差异检验。	给每张丰度表写明测量对象和单位
22	计算多样性之前，先确认在比较什么特征	物种、基因和 MAG 的多样性各有自己的特征集合；过滤、零值和目录回收率都会影响结果。	报告多样性指标、过滤和重复采样
23	排序图分开了，怎样判断是位置还是离散度不同？	以真正独立的样本单位检验；同时检查 PERMANOVA 与组内离散度，置换方式必须符合取样设计。	交代距离、模型、置换与离散度
24	差异来自丰度变化，还是检出率变化？	先固定协变量和多重检验范围，再区分丰度与检出关联；由相对丰度重建的计数只能用于明确标注的敏感性分析。	报告关联类型、调整集和 FDR 范围
25	组成占比高，为什么还不能叫核心成员？	先看每个样本的组成，再比较检出率；核心成员必须同时说明检测阈值、观察单位与稳定性。	写清分类层级、分母和核心定义
26	同一研究名，为什么会对应不同的数据表？	锁定具体资源 release，而不只记包名；合并前核对 profiler、数据库、单位与跨研究样本主键。	保留资源版本与数据处理来源
27	模型的高分，能否经得起真正的留出测试？	筛选、变换和调参都放进训练折；同时报告区分度、校准和测试折重要性，不只展示 ROC。	说明嵌套验证、校准和不确定性
28	一个队列训练得好，换一个队列还有效吗？	区分单队列迁移与多队列留一外测；报告每个队列及最差队列的表现，不能只给合并 AUC。	完整交代队列留出和模型选择
29	网络里的连线，究竟支持什么关系？	条件关联不是直接互作；网络结构、边稳定性与节点删除结果都要同适当零模型比较。	报告网络选择、稳定性和零模型
30	组装更连续，是否也更可信？	把连续性、读段回贴与资源代价分开比较；输入量不同的单样本和混合组装不是纯算法对照。	记录组装输入、策略与比较边界
31	长读组装改善了连续性，还需要检查什么？	连续 contig 和环状信号都需要独立支持；比较平台时同时保留输入预算、错误率与回贴证据。	说明长读输入、组装和闭环证据
32	短读纠错能否改善长读组装？	在同一输入范围内比较纠错前后的一致性错误和结构错误；不要只以 N50 决定是否接受结果。	交代混合策略与纠错前后差异
33	N50 很高的组装，为什么仍可能不能用？	连续性不是正确性；把 reference-free 指标与有参考的结构、回收和碱基错误一起判断。	按分析目标报告组装质量
34	合并基因目录时，哪些序列会被折叠？	先说明 individual、co-assembly 与混合目录的构建规则；identity 与 coverage 共同决定去冗余边界。	报告基因预测与聚类定义
35	从 reads 到基因丰度，分母在哪里变化？	区分多重比对分配、基因长度校正与样本内归一化；功能一对多映射不能解释为新增 reads。	写明比对分配、长度校正与功能汇总
36	未注释基因，为什么不能从分母里消失？	分别报告可注释比例与已注释功能组成；同源注释是功能推断，不是活性测量。	交代功能字段、数据库和未注释比例
37	同一个 CAZyme，为什么几个工具不完全一致？	先区分家族级命中和更具体的功能推断；工具一致性与背景信息提供支持，但不等于底物已被实验证实。	保留 CAZyme 注释方法与结论层级
38	检出抗性相关序列，能说明表型耐药吗？	序列相似性、归属证据与表型结果需要分开；缺少相应验证时，结论停留在抗性相关遗传潜力。	区分序列检出与表型结论
39	毒力数据库命中，为什么不能直接等同致病能力？	同源命中不是功能或疾病效应的证明；解释时必须保留数据库、注释可信度和研究对象的限制。	限定毒力相关注释的解释范围
40	预测到基因簇之后，离天然产物还有多远？	完整度、参考相似性和潜在新颖性分别报告；预测基因簇不等于已经检测到化合物。	说明基因簇完整性与相似性边界
41	平均深度相近，覆盖范围也相同吗？	把 depth 与 breadth 分开看；多重比对和配对规则会影响深度矩阵，不能只靠均值筛选。	记录回比规则和覆盖度定义
42	多个分箱器，怎样比较才公平？	在同一输入和质量标准下比较分箱结果；产出数量不能替代完整度、污染和嵌合检查。	交代分箱策略与质量筛选
43	合并分箱结果，为什么不能把好指标拼在一起？	记录每个最终 bin 的来源和 contig 成员；选择不能借用已知真值，质量必须对最终序列重新计算。	保留候选来源与精炼依据
44	完整度超过 90%，为什么还不一定是高质量 MAG？	CheckM2、GUNC 与 rRNA/tRNA 证据回答不同问题；完整 MIMAG 分级不能简化成完整度和污染两个阈值。	逐项报告 MAG 的质量证据
45	去冗余之后，一个代表基因组代表了什么？	聚类边界和代表选择规则都要写清楚；代表基因组不能代替簇内菌株差异。	注明 ANI、覆盖阈值和代表选择
46	MAG 的分类名称，为什么必须带数据库版本？	分类结果依赖参考树与 release；未能细分的结果应保留不确定性，不用已知标签替代独立分类。	记录 GTDB release 与分类支持
47	一条新分支，是否足以支持新物种？	把基因组质量、相似性边界与系统发育支持合起来判断；树上独立成枝不自动等于新物种。	同时报告相似性与系统发育支持
48	MAG 丰度表漏掉了多少群落信息？	先报告目录回收范围，再解释目录内相对丰度；平均深度与检出需要不同的覆盖标准。	写明定量目录与读段回收范围
49	提交 MAG 之前，哪些异常还需要人工检查？	保留覆盖、GC、组装连接与质量记录；人工删除或修改 contig 必须留下可追踪依据。	保留基因组修改与提交信息
50	两个样本的同一物种，能否称为同株？	相似度要与可比较的基因组范围一起解释；低覆盖或小重叠不能支持强同株结论。	报告变异比较的有效范围
51	菌株树上的聚集，能支持多强的结论？	树拓扑依赖 marker 覆盖与缺失模式；地理或分组聚集不自动证明传播方向。	说明 marker 筛选与树的支持度
52	属于同一物种，为什么功能基因仍然不同？	参考集合和检出规则共同定义附属基因；未检出与真实缺失要区分，基因存在仍不等于表达。	记录泛基因组参照与存在缺失规则
53	菌株共享与传播，差在哪些证据？	共享信号需要独立的时间和来源证据才能谈传播；共同暴露或共同来源仍可能解释相似性。	限定共享、定植和传播措辞
54	病毒候选、质量与分类，为什么要分别判断？	识别结果不等于完整基因组；不同实验类型、质量证据和分类不确定性应分别报告。	分开报告病毒识别与质量证据
55	病毒检出与相对丰度，分别有哪些限制？	目录覆盖、未检出和定量分母都会影响比较；相对丰度或分类标签不能证明生活史或活性。	说明病毒丰度与分类的不确定性
56	一条病毒—宿主预测，距离证实还有多远？	不同证据不能压成一个无条件的宿主标签；预测结果应保留冲突、不确定性与尚未验证的范围。	区分宿主预测与独立验证
57	同一段序列上的基因，能证明已经发生转移吗？	物理共定位、可移动性推断和已观察到的转移是不同结论；没有直接证据时不宣称转移发生。	限定移动元件相关结论
58	真核信号来自 reads 还是 contigs？	两种输入回答不同层级的问题；DNA 检出不等于活性或定植，也不能忽略参考库覆盖。	记录真核检测的输入与证据层级
59	通路相关基因存在，是否足以支持代谢功能？	同源注释、模块完整度与代谢潜力要分开；不完整 MAG 的缺失不能直接写成功能缺失。	报告代谢注释与基因组完整性
60	代谢模型预测生长，依赖哪些假设？	培养基边界和补缺反应都会影响预测；模型可行不等于真实生长或通量已被测量。	注明模型约束、补缺和敏感性
61	群落代谢模型中的交换，能怎样解释？	预测交换只在给定培养基、丰度权重和优化目标下成立；与实测代谢物或通量分开表述。	交代社区模型条件与预测边界
62	元素循环潜力，能否只看一个标记基因？	区分单基因、完整过程和基因组载体；目录回收不全时，不能把局部 MAG 结果当作整个群落。	说明过程定义与回收上限
63	微生物与代谢物相关，是否来自同一个过程？	全局结构、逐特征关联和预测是三个问题；先对齐同一受试者，再把独立验证留到最后。	分开报告多组学关联与预测
64	RNA/DNA 比值高，是否代表表达更活跃？	先严格配对样本与特征；相对 RNA/DNA 指数不是绝对表达量，重复采样要按受试者处理。	说明配对、归一化与统计单位
65	从肽段到物种，哪些归属仍有歧义？	PSM、蛋白推断与物种归属不能跳步；共享肽段和搜索库决定结论可以细化到哪一层。	报告搜索库、推断和配对规则
66	怎样把 MAG 的代谢潜力与实测表型接起来？	预测代谢物与 LC–MS 观测要分开；少数供体的关联不能替代独立功能验证。	区分基因组预测与实测读出
67	重复测了很多次，独立样本到底有多少？	以受试者而非访视数计算独立性；模型和 bootstrap 都要保留主体结构与实际时间间隔。	说明纵向采样与随机效应
68	生存曲线好看，是否来自事后挑选 cutoff？	优先报告连续效应；cutoff 只在训练集确定，并检查比例风险和时间依赖性能。	记录随访、事件、截点和验证
69	相关链条什么时候才支持中介解释？	先确认暴露、中介和结局的时间顺序；再报告重叠、混杂假设与未测混杂敏感性。	交代中介目标、假设和敏感性
70	工具变量能否支持所声称的因果方向？	强度、等位基因协调、多效性和方向性都要检查；BMI 示例的方法结果不能直接外推为微生物因果效应。	完整报告工具变量与稳健性检查
71	横断面数据能支持抗生素到炎症的路径吗？	先检查谁能够和谁比较，再拟合路径；良好的拟合指标不能弥补时间顺序和暴露重叠的缺失。	区分路径关联与因果解释
72	哪些证据能把关联推进到因果判断？	不同设计的证据不能简单相加；每项结果都要对应同一个具体主张，并保留尚未测试的环节。	为每项结论写明适用条件
73	公共资源里，应该先下载哪一张表？	先区分原始归档、标准化分析、基因组目录和分类骨架；明确独立单位与版本后再合并数据。	记录资源标识和适用范围
74	流程跑完了，哪些信息才让别人能够重跑？	固定流程版本、参数、容器和数据库；仅通过 stub 测试不能证明真实数据分析成功。	保存工作流版本与运行记录
75	主图应该回答问题，而不是罗列软件输出	每张图承担一个清楚的结论；全量结果、失败对比和敏感性留在可找到的补充材料中。	让图注说明单位、统计量和局限
76	报告研究与报告基因组，为什么需要不同标准？	研究级清单与实体级标准需要组合使用；不适用要解释原因，完成比例不能代替关键条目。	把报告条目落实到具体证据
77	原始数据、派生结果和代码，分别应该存在哪里？	先把研究、样本、运行与派生对象连起来；只有真正取得的 accession 和 DOI 才能写进可用性声明。	写清数据与代码的真实获取方式
